都道府県,地域名,0_常住地による人口（夜間人口）,001_従業も通学もしていない,002_自市区町村で従業・通学,0021_自宅で従業,0022_自宅外の自市区町村で従業・通学,003_他市区町村で従業・通学,0031_自市内他区で従業・通学,0032_県内他市町村で従業・通学,0033_他県で従業・通学,0034_従業・通学市区町村「不詳・外国」,004_従業地・通学地「不詳」,0R1_（再掲）流出人口,1_従業地・通学地による人口（昼間人口）,101_うち他市区町村に常住,1011_自市内他区に常住,1012_県内他市町村に常住,1013_他県に常住,102_うち従業地・通学地「不詳」又は従業・通学市区町村「不詳・外国」で当地に常住している者,1R1_（再掲）流入人口,
北海道,利尻町,2004,645,1292,344,948,64,0,64,0,0,3,64,2050,110,0,105,5,3,110,102.29541
北海道,利尻富士町,2458,797,1536,391,1145,101,0,99,0,2,24,99,2438,79,0,72,7,26,79,99.18633
北海道,幌延町,2371,729,1510,265,1245,127,0,122,1,4,5,123,2492,244,0,235,9,9,244,105.10333
北海道,美幌町,18697,7233,9217,1577,7640,2104,0,2072,9,23,143,2081,17725,1109,0,1104,5,166,1109,94.80131
北海道,津別町,4373,1854,1992,504,1488,340,0,332,1,7,187,333,4765,725,0,722,3,194,725,108.9641
北海道,斜里町,11418,4113,6342,1139,5203,361,0,346,1,14,602,347,11645,574,0,559,15,616,574,101.98809
北海道,清里町,3883,1512,1944,732,1212,336,0,331,2,3,91,333,3771,221,0,219,2,94,221,97.11563
北海道,小清水町,4623,1634,2519,988,1531,367,0,361,0,6,103,361,4572,310,0,307,3,109,310,98.89682
北海道,訓子府町,4677,1643,2276,991,1285,750,0,741,0,9,8,741,4510,574,0,574,0,17,574,96.42934
北海道,置戸町,2775,1220,1332,380,952,221,0,219,1,1,2,220,2829,274,0,272,2,3,274,101.94595
北海道,佐呂間町,4875,1839,2802,694,2108,215,0,211,0,4,19,211,4984,320,0,319,1,23,320,102.2359
北海道,遠軽町,19241,7933,9703,842,8861,989,0,969,5,15,616,974,19024,757,0,753,4,631,757,98.8722
北海道,湧別町,8270,3125,4454,1377,3077,638,0,629,2,7,53,631,8412,773,0,773,0,60,773,101.71705
北海道,滝上町,2421,1048,1251,237,1014,97,0,96,0,1,25,96,2397,72,0,71,1,26,72,99.00867
北海道,興部町,3628,1228,2023,437,1586,209,0,202,1,6,168,203,3801,376,0,376,0,174,376,104.76847
北海道,西興部村,1053,427,565,88,477,57,0,56,0,1,4,56,1039,42,0,42,0,5,42,98.67047
北海道,雄武町,4199,1359,2613,510,2103,166,0,159,0,7,61,159,4157,117,0,116,1,68,117,98.99976
北海道,大空町,6775,2164,3430,1364,2066,757,0,735,5,17,424,740,6957,922,0,918,4,441,922,102.68635
北海道,豊浦町,3821,1592,1584,379,1205,564,0,558,3,3,81,561,3697,437,0,435,2,84,437,96.75478
北海道,壮瞥町,2743,1159,1119,324,795,395,0,391,0,4,70,391,3105,753,0,744,9,74,753,113.19723
北海道,白老町,16212,7460,6023,587,5436,1663,0,1633,10,20,1066,1643,16914,2345,0,2335,10,1086,2345,104.33013
北海道,厚真町,4432,1511,2259,723,1536,566,0,559,3,4,96,562,5176,1306,0,1296,10,100,1306,116.787
北海道,洞爺湖町,8442,3443,3235,688,2547,1134,0,1087,7,40,630,1094,8755,1407,0,1399,8,670,1407,103.70765
北海道,安平町,7340,2876,3198,665,2533,1245,0,1233,6,6,21,1239,8073,1972,0,1968,4,27,1972,109.98638
北海道,むかわ町,7651,2754,4003,1056,2947,730,0,706,3,21,164,709,7868,926,0,925,1,185,926,102.83623
北海道,日高町,11279,4034,6352,1290,5062,878,0,873,2,3,15,875,11206,802,0,797,5,18,802,99.35278
北海道,平取町,4776,1489,2893,747,2146,359,0,348,4,7,35,352,4909,485,0,480,5,42,485,102.78476
北海道,新冠町,5309,1795,2652,779,1873,832,0,821,8,3,30,829,5120,640,0,639,1,33,640,96.44001
